Date,Start Price,Current Price,High Price,Low Price,Volume
20191217,55800,56700,56700,55400,19358433
20191218,56700,56300,57200,56000,15558208
20191219,57000,56000,57300,55500,14180520
20191220,56100,56000,56500,55600,12095519
20191223,56100,55500,56400,55100,9839252
20191224,55600,55000,55700,54800,11868463
20191226,54700,55400,55400,54400,9645034
20191227,55700,56500,56900,55500,12313056
20191230,56200,55800,56600,55700,8356767
20200102,55500,55200,56000,55000,12993228
20200103,56000,55500,56600,54900,15422255
20200106,54900,55500,55600,54600,10278951
20200107,55700,55800,56400,55600,10009778
20200108,56200,56800,57400,55900,23501171
20200109,58400,58600,58600,57400,24102579
20200110,58800,59500,59700,58300,16000170
20200113,59600,60000,60000,59100,11359139
20200114,60400,60000,61000,59900,16906295
20200115,59500,59000,59600,58900,14300928
20200116,59100,60700,60700,59000,14381774
20200117,61900,61300,62000,61000,16025661
20200120,62000,62400,62800,61700,12528855
20200121,62000,61400,62400,61200,11142693
20200122,60500,62300,62600,60400,15339565
20200123,61800,60800,61800,60700,14916555
20200128,59400,58800,59400,58300,23664541
20200129,59100,59100,59700,58800,16446102
20200130,58800,57200,58800,56800,20821939
20200131,57800,56400,58400,56400,19749457
20200203,55500,57200,57400,55200,23995260
20200204,57100,58900,59000,56800,21800192
20200205,60000,59500,60200,58900,19278165
20200206,60100,61100,61100,59700,14727159
20200207,61100,60400,61200,59700,16402493
20200210,59200,59700,59800,59100,13107121
20200211,59800,59900,60700,59700,11071231
20200212,60300,60500,60700,59700,12904207
20200213,61200,60700,61600,60500,18449775
20200214,60900,61800,61900,60200,13276067
20200217,61600,61500,62000,61200,8740596
20200218,60800,59800,60900,59700,16674266
20200219,59800,60200,60400,59400,12951496
20200220,60700,60000,61300,59600,14591924
20200221,58800,59200,59800,58500,13777393
20200224,57400,56800,58100,56800,25627537
20200225,56200,57900,58000,56200,23885408
20200226,56000,56500,57000,56000,25483102
20200227,56300,55900,56900,55500,23209541
20200228,55000,54200,55500,54200,30054227
20200302,54300,55000,55500,53600,30403412
20200303,56700,55400,56900,55100,30330295
20200304,54800,57400,57600,54600,24765728
20200305,57600,57800,58000,56700,21698990
20200306,56500,56500,57200,56200,18716656
20200309,54700,54200,55000,53600,30261485
20200310,53800,54600,54900,53700,32106554
20200311,54300,52100,54400,52000,45707281
20200312,51000,50800,51900,49300,48149999
20200313,47450,49950,51600,46850,59462933
20200316,50100,48900,50900,48800,33339821
20200317,46900,47300,49650,46700,51218151
20200318,47750,45600,48350,45600,40152623
20200319,46400,42950,46650,42300,56925513
20200320,44150,45400,45500,43550,49730008
20200323,42600,42500,43550,42400,41701626
20200324,43850,46950,46950,43050,49801908
20200325,48950,48650,49600,47150,52735922
20200326,49000,47800,49300,47700,42185129
20200327,49600,48300,49700,46850,39896178
20200330,47050,47850,48350,46550,26797395
20200331,48000,47750,48500,47150,30654261
20200401,47450,45800,47900,45800,27259532
20200402,46200,46800,46850,45350,21621076
20200403,47400,47000,47600,46550,22784682
20200406,47500,48700,48800,47250,23395726
20200407,49650,49600,50200,49000,31524034
20200408,49600,48600,49750,48600,25010314
20200409,49750,49100,49800,48700,22628058
20200410,48950,49250,49250,48650,17839111
20200413,48650,48300,48900,48300,14431800
20200414,48800,49000,49200,48300,14206216
20200416,49350,49000,49350,48550,23349760
20200417,50800,51400,52000,50300,32041675
20200420,51400,50100,51400,50000,21866354
20200421,49400,49250,49700,48700,27407543
20200422,48700,49850,50000,48350,18613864
20200423,50200,49850,50300,49500,18754442
20200424,49650,49350,49750,49000,15618347
20200427,49350,49850,50000,49100,14049471
20200428,49850,50100,50100,49300,16095399
20200429,49900,50000,50500,49600,15604533
20200504,48900,48500,49100,48500,26083749
20200506,49000,49200,49200,48500,18070225
20200507,49200,48800,49300,48700,13884411
20200508,49100,48800,49350,48800,15319700
20200511,48900,48400,49250,48300,16357743
20200512,48400,47900,48500,47550,23433590
20200513,47250,48550,48550,47200,20223277
20200514,47750,48000,48100,47650,19305974
20200515,48400,47850,48450,47700,18463118
20200518,47950,48800,49100,47600,20481981
20200519,50100,50300,50500,49700,25168295
20200520,50000,50000,50200,49800,14896899
20200521,50300,49950,50400,49850,14949266
20200522,49600,48750,49800,48600,19706284
20200525,48750,48850,48900,48450,14337913
20200526,48700,49250,49450,48600,15127490
20200527,48950,49900,50000,48800,19548479
20200528,51100,50400,51200,49900,31309318
20200529,50000,50700,50700,49700,27596961
20200601,50800,51200,51200,50600,16949183
20200602,51000,51400,51500,50800,14247933
20200603,51800,54500,55000,51700,49257814
20200604,55800,54600,57000,54600,40220334
20200605,54400,55500,55900,54000,22743629
20200608,56400,54900,56500,54700,25634965
20200609,55800,55500,56500,54400,23998831
20200610,55100,55400,55900,54900,16742493
20200611,54500,54300,55100,53200,33815123
20200612,52100,52300,52800,51500,26976019
20200615,51400,49900,52000,49900,28772921
20200616,51200,52100,52100,50600,21808375
20200617,52100,52200,52900,51300,26672595
20200618,52200,52300,52300,51600,15982926
20200619,52600,52900,52900,51600,18157985
20200622,52000,52000,52600,51800,13801350
20200623,52500,51400,52800,51100,18086152
20200624,51900,52900,53900,51600,24519552
20200625,52100,51900,53000,51900,18541624
20200626,52800,53300,53900,52200,21575360
20200629,52500,52400,53200,52000,17776925
20200630,53900,52800,53900,52800,21157172
20200701,53400,52600,53600,52400,16706143
20200702,52100,52900,52900,52100,14142583
20200703,53000,53600,53600,52700,11887868
20200706,54000,55000,55000,53800,19856623
20200707,55800,53400,55900,53400,30760032
20200708,53600,53000,53900,52900,19664652
20200709,53200,52800,53600,52800,17054850
20200710,53100,52700,53200,52300,13714746
20200713,53300,53400,53800,53100,12240188
20200714,53700,53800,53800,53200,14269484
20200715,54400,54700,55000,54300,24051450
20200716,54800,53800,54800,53800,16779127
20200717,54200,54400,54700,54100,10096174
20200720,54800,54200,54800,54000,10507530
20200721,55200,55300,55400,54800,18297260
20200722,55300,54700,55500,54700,12885057
20200723,54700,54100,54700,53800,16214932
20200724,54000,54200,54400,53700,10994535
20200727,54300,55600,55700,54300,21054421
20200728,57000,58600,58800,56400,48431566
20200729,60300,59000,60400,58600,36476611
20200730,59700,59000,60100,59000,19285354
20200731,59500,57900,59600,57700,21943345
20200803,57800,56800,57900,56700,21158940
20200804,57200,57300,58100,57000,19419694
20200805,57300,56900,57500,56300,17739706
20200806,57100,58000,58400,57100,21625874
20200807,57900,57500,58400,57100,18751717
20200810,57600,57800,58300,57500,17774291
20200811,58000,58200,59500,57800,24907912
20200812,58200,59000,59000,57700,18573934
20200813,59400,58700,59600,58000,22089460
20200814,58000,58000,58400,57700,15672548
20200818,58900,58400,59900,58000,25307825
20200819,59000,57800,59200,57800,16930719
20200820,57600,55400,57600,55300,30386029
20200821,56200,55900,56900,55800,21142288
20200824,55800,56100,56600,55400,15055896
20200825,56400,56400,56800,56100,14021705
20200826,56400,56400,56500,55700,17651593
20200827,56300,55600,56300,55600,16196568
20200828,56100,55400,56300,55400,14619888
20200831,56000,54000,56100,54000,32671367
20200901,54100,54200,54800,54100,19363117
20200902,54600,54400,55100,54100,16905723
20200903,55600,56400,56700,55500,28384920
20200904,55200,55600,55800,55100,22139109
20200907,56100,56500,57300,55800,18685880
20200908,57400,58700,58700,57200,31517520
20200909,58200,58400,59300,57800,30597399
20200910,59900,59200,60000,59100,29923293
20200911,59300,59000,59400,58200,16017098
20200914,60200,60400,60800,59900,20648281
20200915,60900,61000,61000,60500,17877075
20200916,61100,61000,61300,60600,17041444
20200917,60700,59500,60800,59300,25108356
20200918,59800,59300,59900,59100,18884571
20200921,59100,59200,60000,59000,15140387
20200922,59100,58200,59700,57800,20830381
20200923,58400,58600,58800,57400,20111398
20200924,57700,57800,58600,57600,17564020
20200925,57700,57900,58200,57700,11444683
20200928,58300,58200,58800,57900,12614080
20200929,58300,58200,59000,58200,15503563
20201005,57500,58700,59200,57500,20228289
20201006,59400,59000,59900,58700,14463826
20201007,58700,59900,59900,58500,14861838
20201008,60500,59700,60700,59500,24589924
20201012,60000,60400,60400,59900,16145837
20201013,61000,60900,61400,60400,19247631
20201014,61000,60900,61100,60500,16086716
20201015,60700,60000,60800,59700,17756232
20201016,60000,59500,60400,59000,16554190
20201019,59600,60000,60200,59500,14474985
20201020,60300,60900,60900,60100,19326115
20201021,61200,60900,61500,60600,15703443
20201022,60300,60100,60500,59800,14294095
20201023,60400,60200,60400,59800,9322232
20201026,60400,60400,61100,60100,13268226
20201027,60300,59800,60300,59500,17260416
20201028,59400,59000,59400,58800,14428882
20201029,58200,58100,58500,57500,22636966
20201030,58000,56600,58000,56600,26907844
20201102,56400,57400,57500,56000,20489076
20201103,57900,58800,58900,57600,14950919
20201104,58900,58500,59000,57800,21718561
20201105,59000,60300,60300,58800,20639475
20201106,60700,60100,60800,59600,16910230
20201109,60700,60200,60900,60100,15892961
20201110,60500,60200,60500,59500,19073552
20201111,60700,61300,61400,60400,25628510
20201112,61000,61000,61400,60700,19800573
20201113,61300,63200,63200,61000,31508829
20201116,64000,66300,66700,63900,36354334
20201117,67000,65700,67000,65600,30204089
20201118,65700,64800,66200,64700,22963790
20201119,64100,64600,64800,63900,16590290
20201120,63900,64700,65200,63900,15068682
20201123,64800,67500,67800,64700,27134398
20201124,67900,67700,69500,67000,32158235
20201125,67900,66600,68300,66500,32447065
20201126,66100,68000,68000,66000,19023323
20201127,68000,68200,68400,67600,14063434
20201130,68400,66700,68600,66700,43811016
20201201,67100,67800,68300,67100,22327173
20201202,68400,69500,69900,68300,29703942
20201203,70100,69700,70500,69300,23677989
20201204,70400,71500,72100,70100,28130533
20201207,72400,72900,73500,71900,28490496
20201208,72200,71700,72900,71600,25000338
20201209,72100,73900,73900,72000,24077996
20201210,72700,72900,73800,72500,39882928
20201211,73500,73400,73800,73100,18486672
20201214,73600,73800,74500,73200,21510415
20201215,73800,73800,74100,73300,20863671
20201216,74100,73800,74500,73400,17512081
20201217,73400,73300,73700,72600,24293214
20201218,73300,73000,73700,73000,17613029
20201221,73100,73000,73400,72000,20367355
20201222,72500,72300,73200,72100,16304910
20201223,72400,73900,74000,72300,19411326
20201224,74100,77800,78800,74000,32502870
20201228,79000,78700,80100,78200,40085044
20201229,78800,78300,78900,77300,30339449
20201230,77400,81000,81300,77300,29417421
20210104,81000,83000,84400,80200,38655276
20210105,81600,83900,83900,81600,35335669
20210106,83300,82200,84500,82100,42089013
20210107,82800,82900,84200,82700,32644642
20210108,83300,88800,90000,83000,59013307
20210111,90000,91000,96800,89500,90306177
20210112,90300,90600,91400,87800,48682416
20210113,89800,89700,91200,89100,36068848
20210114,88700,89700,90000,88700,26393970
20210115,89800,88000,91800,88000,33431809
20210118,86600,85000,87300,84100,43227951
20210119,84500,87000,88000,83600,39895044
20210120,89000,87200,89000,86500,25211127
20210121,87500,88100,88600,86500,25318011
20210122,89000,86800,89700,86800,30861661
20210125,87000,89400,89900,86300,27258534
20210126,88800,86700,89200,86500,33178936
20210127,86600,85600,87700,85600,26423070
20210128,83200,83700,85600,83200,31859808
20210129,84500,82000,85000,82000,39615978
20210201,81700,83000,83400,81000,28046832
20210202,84100,84400,86400,83700,26302077
20210203,84800,84600,85400,83400,22112205
20210204,83500,82500,83800,82100,24171688
20210205,83100,83500,84000,82500,18036835
20210208,83800,83000,84200,83000,15338765
20210209,84000,82700,84800,82700,20898332
20210210,82600,81600,82600,81600,23025766
20210215,83800,84200,84500,83300,23529706
20210216,84500,84900,86000,84200,20483100
20210217,83900,83200,84200,83000,18307735
20210218,83200,82100,83600,82100,21327683
20210219,82300,82600,82800,81000,25880879
20210222,83800,82200,84200,82200,25419886
20210223,81200,82000,82900,81100,20587314
20210224,81800,82000,83600,81300,26807651
20210225,84000,85300,85400,83000,34155986
20210226,82800,82500,83400,82000,38520800
20210302,85100,83600,85300,83000,33498180
20210303,83500,84000,84000,82800,19882132
20210304,82600,82400,83200,82200,24348331
20210305,81100,82100,82600,81100,20508971
20210308,82900,82000,83000,81600,17641256
20210309,81400,81400,81900,80600,25420764
20210310,82400,80900,82500,80700,20038422
20210311,81000,82000,82500,81000,23818297
20210312,83100,82800,83500,82400,13530573
20210315,82800,81800,82900,81800,13735798
20210316,82200,82800,83000,82100,12293537
20210317,82800,82300,82900,82000,11625146
20210318,82800,82900,83800,82600,18585244
20210319,82100,81900,82500,81800,15869700
20210322,82000,82000,82300,81700,12670506
20210323,82600,81800,82900,81800,13299907
20210324,81000,81000,81600,80700,17926638
20210325,81000,81200,82100,80800,14758826
20210326,81400,81500,81600,81000,12845778
20210329,81700,81600,81700,81000,14952134
20210330,81600,82200,82300,81300,13121698
20210331,82400,81400,82700,81400,17240518
20210401,82500,82900,83000,82000,18676461
20210402,84000,84800,85200,83900,22997538
20210405,85800,85400,86000,84800,16255990
20210406,86200,86000,86200,85100,19042023
20210407,86100,85600,86200,85400,17885538
20210408,85700,84700,85700,84100,19244259
20210409,84700,83600,84900,83400,18193707
20210412,84100,83200,84100,83100,12915282
20210413,83000,84000,84500,82800,15238206
20210414,84000,84000,84300,83400,13794652
20210415,83700,84100,84500,83400,16377412
20210416,84700,83900,84700,83600,15429522
20210419,83800,83300,84000,83300,15287311
20210420,83300,83900,84000,83100,15521965
20210421,83300,82600,83500,82500,21636079
20210422,82900,82400,83000,82400,13934746
20210423,81900,82800,82900,81600,17805080
20210426,82900,83500,83500,82600,15489938
20210427,83200,82900,83300,82500,12941533
20210428,83200,82100,83200,82100,15596759
20210429,82400,81700,82500,81500,20000973
20210430,81900,81500,82100,81500,18673197
20210503,81000,81700,82400,81000,15710336
20210504,81900,82600,82600,81800,12532550
20210506,81700,82300,82300,81700,17047511
20210507,81800,81900,82100,81500,14154882
20210510,82300,83200,83500,81800,19385027
20210511,82500,81200,82600,81100,28996680
20210512,80800,80000,81200,79800,35812268
20210513,78900,78500,79600,78400,31490096
20210514,79000,80100,80300,78900,16450920
20210517,80800,79600,80900,79200,17740855
20210518,79600,79600,80000,79100,17494407
20210520,79400,79500,79700,79100,16541828
20210521,80100,80100,81500,79800,20961714
20210524,80100,79700,80400,79500,13398666
20210525,80000,79900,80400,79800,13628942
20210526,80400,79800,80500,79700,11984359
20210527,80000,79600,80000,79100,23198510
20210528,79800,80100,80400,79400,12360199
20210531,80300,80500,80600,79600,13321324
20210601,80500,80600,81300,80100,14058401
20210602,80400,80800,81400,80300,16414644
20210603,81300,82800,83000,81100,29546007
20210604,82700,82200,82700,81500,18112259
20210607,82700,81900,82800,81600,16496197
20210608,82300,81900,82600,81800,12781226
20210609,81500,81100,82000,81100,14908823
20210610,81300,81000,81400,80900,17586995
20210611,81200,81000,81700,80700,14087962
20210614,80800,80500,80900,80500,10550078
20210615,80900,80900,81200,80600,10075685
20210616,81500,81800,81900,81100,14999855
20210617,81100,80900,81300,80700,14007385
20210618,81100,80500,81100,80500,14916721
20210621,79700,79900,80000,79600,16063340
20210622,80200,80000,80300,79900,11773365
20210623,80500,80100,80600,79900,13856548
20210624,80400,81200,81400,80100,18771080
20210625,81500,81600,81900,81200,13481405
20210628,81700,81900,82000,81600,11578529
20210629,81900,81000,82100,80800,15744317
20210630,81100,80700,81400,80700,13288643
20210701,80500,80100,80600,80000,13382882
20210702,80000,80000,80400,79900,8753097
20210705,80100,80400,80800,80000,8330969
20210706,80600,81200,81200,80500,12131651
20210707,81200,80800,81300,80300,15992202
20210708,81100,79900,81200,79900,16660998
20210709,79600,79400,79800,79000,22720577
20210712,79900,79700,80000,79500,9768108
20210713,80000,79800,80200,79800,9863450
20210714,79400,79500,79600,79100,11575636
20210715,79800,80600,80600,79500,13766279
20210716,80100,79800,80100,79500,10859399
20210719,79100,79000,79200,78800,13155414
20210720,78500,79000,79000,78400,12456646
20210721,79000,78500,79100,78500,12355296
20210722,79000,79700,79800,78900,12618790
20210723,79700,79300,79900,79200,9098910
20210726,79400,78800,79500,78800,10040975
20210727,79200,78500,79400,78500,11427693
20210728,78300,79200,79200,78100,12743417
20210729,78800,79000,79400,78800,14360453
20210730,78900,78500,78900,78500,13823411
20210802,79200,79300,79500,78700,11739124
20210803,79400,81400,81400,79300,24339360
20210804,82200,82900,83100,81800,25642368
20210805,83300,82100,83300,82000,18485469
20210806,81900,81500,82500,81300,13342623
20210809,81500,81500,82300,80900,15522581
20210810,82300,80200,82400,80100,20362639
20210811,79600,78500,79800,78500,30241137
20210812,77100,77000,78200,76900,42365223
20210813,75800,74400,76000,74100,61270643
20210817,74000,74200,75100,74000,30944847
20210818,73900,73900,74600,73100,29192631
20210819,73500,73100,74400,73100,22166298
20210820,73500,72700,73900,72500,22364803
20210823,73300,73300,74000,73000,19384648
20210824,73900,75600,75700,73900,21016913
20210825,76200,75700,76600,74900,22319664
20210826,76100,74600,76200,74600,16671494
20210827,74300,74300,75000,73800,15172748
20210830,75400,74600,75500,74200,12686999
20210831,74900,76700,76700,74300,24630370
20210901,76700,76800,77100,75900,16114775
20210902,76800,76000,76800,75700,15347486
20210903,76400,76600,76700,76000,12096419
20210906,76800,77300,77600,76600,12861180
20210907,77100,76100,77100,75900,13239401
20210908,76000,76300,76400,75600,11798147
20210909,76400,75300,76600,75000,17600770
20210910,75300,75300,75600,74800,10103212
20210913,75200,76300,76300,75100,11397775
20210914,77100,76600,77700,76600,18167057
20210915,77400,77000,77400,76400,12829128
20210916,77300,76100,77400,76100,13067622
20210917,76300,77200,77200,75900,16289502
20210923,77500,77400,77600,76800,17055590
20210924,77600,77300,77700,77100,12247274
20210927,77300,77700,77700,77000,11699798
20210928,77700,76300,77800,76200,15406382
20210929,74800,74100,75300,73800,23992458
20210930,74300,74100,74800,73700,19919361
20211001,73900,73200,74000,72900,15803395
20211005,73000,72200,73000,71400,24013921
20211006,72600,71300,72800,71200,18956962
20211007,71600,71600,72100,71300,13683532
20211008,72300,71500,72400,71500,14043287
20211012,70700,69000,70900,68700,31001484
20211013,68700,68800,69600,68300,24172015
20211014,69000,69400,69800,68800,19520641
20211015,70200,70100,71000,70000,18051612
20211018,70200,70200,70300,69200,13486391
20211019,70800,70600,71000,70400,9507991
20211020,70700,70300,71000,70200,10151638
20211021,70300,70200,70600,70000,10891094
20211022,70000,70400,70700,70000,8395448
20211025,69900,70200,70600,69500,10029621
20211026,70600,71100,71500,70400,10528252
20211027,71000,70100,71000,70000,10295316
20211028,69500,70700,72200,69500,20644902
20211029,71200,69800,71600,69700,17016151
20211101,70200,69900,70600,69900,11503729
20211102,70800,71500,72200,70700,16812570
20211103,71700,70400,71700,70100,12770428
20211104,71200,70600,71600,70500,11818987
20211105,71600,70200,71600,70200,12667743
20211108,70400,70600,70600,69800,11121981
20211109,70300,70500,71000,70100,11159589
20211110,70300,70200,70900,70200,9422009
20211111,69900,69900,70000,69600,11489122
20211112,70200,70600,70900,69900,10087450
20211115,71700,71400,71900,70900,12420710
20211116,71500,71300,72000,71300,10919239
20211117,71300,70700,71600,70600,11027606
20211118,70700,70200,71000,70200,10144957
20211119,70400,71200,71400,70100,11954728
20211122,73300,74900,75200,73000,27506623
20211123,76000,75300,76000,74500,22029195
20211124,76000,74800,76200,74100,15652305
20211125,75100,73700,75100,73600,12559258
20211126,73500,72300,74100,72000,13002242
20211129,71700,72300,73000,71400,16682559
20211130,73200,71300,73900,70500,30364841
20211201,72000,74400,74800,71600,21954856
20211202,73900,75800,75800,73800,23652940
20211203,75600,75600,76000,74100,18330240
20211206,75100,76300,76700,74900,16391250
20211207,76100,77400,77700,75600,19232453
20211208,78300,77400,78600,77100,21558340
20211209,77400,78200,78200,77000,21604528
20211210,77400,76900,77600,76800,9155219
20211213,77200,76800,78300,76500,15038750
20211214,76500,77000,77200,76200,10976660
20211215,76400,77600,77600,76300,9584939
20211216,78500,77800,78500,77400,11996128
20211217,76800,78000,78000,76800,13108479
20211220,77600,77100,77800,76800,11264375
20211221,77900,78100,78300,77500,14245298
20211222,78900,79400,79400,78800,17105892
20211223,79800,79900,80000,79300,13577498
20211224,80200,80500,80800,80200,12086380
20211227,80600,80200,80600,79800,10783368
20211228,80200,80300,80400,79700,18226325
20211229,80200,78800,80200,78500,19794795
20211230,78900,78300,79500,78100,14236700
20220103,79400,78600,79800,78200,13502112
20220104,78800,78700,79200,78300,12427416
20220105,78800,77400,79000,76400,25470640
20220106,76700,76900,77600,76600,12931954
20220107,78100,78300,78400,77400,15163757
20220110,78100,78000,78100,77100,9947422
20220111,78400,78900,79000,78000,13221123
20220112,79500,78900,79600,78600,11000502
20220113,79300,77900,79300,77900,13889401
20220114,77700,77300,78100,77100,10096725
20220117,77600,77500,77800,76900,8785122
20220118,77600,77000,77800,76600,9592788
20220119,76500,76300,76900,76100,10598290
20220120,76200,76500,76700,75900,9708168
20220121,75800,75600,75800,74700,15774888
20220124,75400,75100,75800,74700,13691134
20220125,74800,74000,75000,73200,17766704
20220126,73900,73300,74400,73100,12976730
20220127,73800,71300,74000,71300,22274777
20220128,71300,73300,73700,71200,21367447
20220203,74900,73300,74900,73300,17744721
20220204,74300,74000,74600,73400,12730034
20220207,73500,73000,73600,72400,14240838
20220208,73800,73500,74200,73000,11736666
20220209,74300,74700,74700,74000,9699122
20220210,75600,75400,75800,74700,17746033
20220211,75000,74900,75500,74600,12205407
20220214,74400,73700,74500,73100,13993255
20220215,74100,73700,74200,73100,9320365
20220216,74600,74800,74900,74200,10767386
20220217,75000,75000,75600,74500,13605382
20220218,74600,74300,74800,73700,10122226
20220221,73200,74200,74300,72600,10489717
20220222,73000,73400,73400,72800,11692469
20220223,73800,73000,73800,72800,10397964
20220224,72300,71500,72300,71300,15759283
20220225,72100,71900,72600,71900,13168484
20220228,71100,72100,72100,71000,17781783
20220302,72300,71700,72400,71500,12481430
20220303,72300,72900,73100,72200,13232638
20220304,72700,71500,72700,71200,13409634
20220307,70000,70100,70600,69900,18617138
20220308,68800,69500,70000,68700,15828269
20220310,70800,71200,71200,70500,21159248
20220311,70500,70000,70700,69700,15787655
20220314,70000,70200,70200,69600,9040993
20220315,69800,69500,70100,69500,10258562
20220316,70200,70400,70500,69700,10175750
20220317,71200,71200,71800,70900,17646315
20220318,70600,70700,70900,70200,14410038
20220321,70900,69900,71000,69900,11169002
20220322,69900,70300,70500,69900,9402666
20220323,70600,70500,71200,70300,12398025
20220324,69600,69800,70300,69600,37943357
20220325,70100,69800,70200,69600,12986010
20220328,69500,69700,69900,69200,12619289
20220329,70000,70200,70300,69800,13686208
20220330,70300,69900,70500,69800,12670187
20220331,69900,69600,70200,69600,12510366
20220401,69500,69100,69500,69000,15916846
20220404,68900,69300,69300,68600,11107905
20220405,69400,69200,69600,69100,8467248
20220406,68600,68500,68800,68500,15517308
20220407,68500,68000,68500,68000,20683327
20220408,68100,67800,68300,67700,15453191
20220411,67800,67900,68100,67400,12263735
20220412,67600,67000,67700,67000,13924389
20220413,67300,68700,69000,67200,17378619
20220414,68700,67500,68700,67500,16409494
20220415,67200,66600,67300,66500,13176415
20220418,66500,66700,67100,66100,10119203
20220419,67100,67300,68000,67000,12959434
20220420,67000,67400,67400,66500,16693293
20220421,67600,67700,68300,67500,12847448
20220422,67200,67000,67300,66700,11791478
20220425,66500,66300,66700,66300,11016474
20220426,66400,66100,66700,66100,12946923
20220427,65400,65000,65500,64900,18122084
20220428,65400,64800,65500,64500,16895527
20220429,65100,67400,67600,65000,26190390
20220502,66600,67300,67600,66500,14106184
20220503,67400,67500,68400,67300,14168875
20220504,68000,67900,68400,67500,11505248
20220506,67000,66500,67100,66500,14356156
20220509,66300,66100,66900,66100,11858736
20220510,65900,65700,66300,65300,17235605
20220511,65500,65700,66300,65200,12330920
20220512,65200,64900,65500,64900,16414188
20220513,65300,66500,66700,65200,14551536
20220516,67100,66300,67400,66100,11937555
20220517,66600,67600,67900,66600,15680447
20220518,68300,68100,68700,67600,16486319
20220519,66500,67500,67600,66500,17073727
